
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Many Integrated Core Acceleration Card
------ End of hardware checking ------

Length=33554432 Algo=2 Buckets=2 bLocal=2048 bGrid=4096 Time=14.3156ms
Length=33554432 Algo=2 Buckets=4 bLocal=64 bGrid=4096 Time=17.7367ms
Length=33554432 Algo=2 Buckets=8 bLocal=2048 bGrid=4096 Time=18.8846ms
Length=33554432 Algo=2 Buckets=16 bLocal=64 bGrid=4096 Time=20.4416ms
Length=33554432 Algo=2 Buckets=32 bLocal=128 bGrid=1024 Time=21.5422ms
Length=33554432 Algo=2 Buckets=64 bLocal=2048 bGrid=4096 Time=23.1168ms
Length=33554432 Algo=2 Buckets=128 bLocal=64 bGrid=1024 Time=24.2604ms
Length=33554432 Algo=2 Buckets=256 bLocal=128 bGrid=1024 Time=27.1134ms
Length=33554432 Algo=2 Buckets=512 bLocal=128 bGrid=1024 Time=29.634ms
Length=33554432 Algo=2 Buckets=1024 bLocal=1024 bGrid=2048 Time=43.992ms
Length=33554432 Algo=2 Buckets=2048 bLocal=64 bGrid=1024 Time=65.8596ms
Length=33554432 Algo=2 Buckets=4096 	wrong results
