
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
------ End of hardware checking ------

Key-only:
Length=33554432 Algo=5 Buckets=2 bLocal=512 bGrid=16384 Time=35.887ms
Length=33554432 Algo=5 Buckets=4 bLocal=512 bGrid=16384 Time=36.1379ms
Length=33554432 Algo=5 Buckets=8 bLocal=512 bGrid=16384 Time=38.0367ms
Length=33554432 Algo=5 Buckets=16 bLocal=512 bGrid=16384 Time=41.8993ms
Length=33554432 Algo=5 Buckets=32 bLocal=512 bGrid=16384 Time=45.7623ms
Length=33554432 Algo=5 Buckets=64 bLocal=512 bGrid=16384 Time=51.4567ms
Length=33554432 Algo=5 Buckets=128 bLocal=64 bGrid=16384 Time=57.1433ms
Length=33554432 Algo=5 Buckets=256 bLocal=64 bGrid=16384 Time=72.9168ms
Length=33554432 Algo=5 Buckets=512 bLocal=128 bGrid=16384 Time=113.473ms
Length=33554432 Algo=5 Buckets=1024 bLocal=128 bGrid=16384 Time=189.956ms
Length=33554432 Algo=5 Buckets=2048 bLocal=64 bGrid=16384 Time=336.659ms
Length=33554432 Algo=5 Buckets=4096 bLocal=64 bGrid=32768 Time=1231.39ms
