
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Many Integrated Core Acceleration Card
------ End of hardware checking ------

Key-only:
Length=33554432 Algo=0 Buckets=2 bLocal=128 bGrid=4096 Time=17.0444ms
Length=33554432 Algo=0 Buckets=4 bLocal=32 bGrid=4096 Time=18.3362ms
Length=33554432 Algo=0 Buckets=8 bLocal=16 bGrid=4096 Time=20.988ms
Length=33554432 Algo=0 Buckets=16 bLocal=16 bGrid=4096 Time=23.6151ms
Length=33554432 Algo=0 Buckets=32 bLocal=16 bGrid=4096 Time=26.8ms
Length=33554432 Algo=0 Buckets=64 bLocal=16 bGrid=4096 Time=30.6224ms
Length=33554432 Algo=0 Buckets=128 bLocal=32 bGrid=1024 Time=38.8658ms
Length=33554432 Algo=0 Buckets=256 bLocal=16 bGrid=4096 Time=50.8744ms
Length=33554432 Algo=0 Buckets=512 bLocal=16 bGrid=4096 Time=79.2162ms
Length=33554432 Algo=0 Buckets=1024 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=2048 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=4096 bLocal=-1 bGrid=-1 Time=99999ms
