
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
------ End of hardware checking ------

Key-only:
Length=33554432 Algo=2 Buckets=2 bLocal=512 bGrid=2048 Time=29.8725ms
Length=33554432 Algo=2 Buckets=4 bLocal=512 bGrid=2048 Time=29.6491ms
Length=33554432 Algo=2 Buckets=8 bLocal=256 bGrid=2048 Time=29.3392ms
Length=33554432 Algo=2 Buckets=16 bLocal=512 bGrid=2048 Time=29.2127ms
Length=33554432 Algo=2 Buckets=32 bLocal=512 bGrid=2048 Time=29.1068ms
Length=33554432 Algo=2 Buckets=64 bLocal=512 bGrid=2048 Time=30.1619ms
Length=33554432 Algo=2 Buckets=128 bLocal=512 bGrid=512 Time=33.5604ms
Length=33554432 Algo=2 Buckets=256 bLocal=256 bGrid=2048 Time=40.7679ms
Length=33554432 Algo=2 Buckets=512 bLocal=512 bGrid=2048 Time=43.778ms
Length=33554432 Algo=2 Buckets=1024 bLocal=256 bGrid=1024 Time=55.8118ms
Length=33554432 Algo=2 Buckets=2048 bLocal=512 bGrid=512 Time=66.7398ms
Length=33554432 Algo=2 Buckets=4096 bLocal=512 bGrid=512 Time=64.7468ms
