
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Many Integrated Core Acceleration Card
------ End of hardware checking ------

Key-only:
Length=33554432 Algo=1 Buckets=2 bLocal=64 bGrid=4096 Time=27.0553ms
Length=33554432 Algo=1 Buckets=4 bLocal=32 bGrid=2048 Time=36.0014ms
Length=33554432 Algo=1 Buckets=8 bLocal=16 bGrid=2048 Time=46.6709ms
Length=33554432 Algo=1 Buckets=16 bLocal=16 bGrid=2048 Time=54.0662ms
Length=33554432 Algo=1 Buckets=32 bLocal=16 bGrid=2048 Time=63.5316ms
Length=33554432 Algo=1 Buckets=64 bLocal=16 bGrid=4096 Time=78.3782ms
Length=33554432 Algo=1 Buckets=128 bLocal=32 bGrid=2048 Time=107.479ms
Length=33554432 Algo=1 Buckets=256 bLocal=32 bGrid=1024 Time=149.659ms
Length=33554432 Algo=1 Buckets=512 bLocal=16 bGrid=1024 Time=176.749ms
Length=33554432 Algo=1 Buckets=1024 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=1 Buckets=2048 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=1 Buckets=4096 bLocal=-1 bGrid=-1 Time=99999ms
