
Starting to launch opencl_compare...
Fast run...
Data size: 1000

Detection mode: All
------ Start hardware checking ------
Platform: Intel(R) OpenCL
Number of devices: 2
	Computing device 0 : Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
	Computing device 1 : Intel(R) Many Integrated Core Acceleration Card
Please enter the index of the device to use (0,1,2...) : Selected device: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
------ End of hardware checking ------

Length=33554432 Algo=0 Buckets=2 bLocal=512 bGrid=512 Time=38.1269ms
Length=33554432 Algo=0 Buckets=4 bLocal=128 bGrid=2048 Time=37.4998ms
Length=33554432 Algo=0 Buckets=8 bLocal=64 bGrid=4096 Time=40.655ms
Length=33554432 Algo=0 Buckets=16 bLocal=64 bGrid=128 Time=43.4478ms
Length=33554432 Algo=0 Buckets=32 bLocal=64 bGrid=128 Time=43.5813ms
Length=33554432 Algo=0 Buckets=64 bLocal=64 bGrid=128 Time=44.7914ms
Length=33554432 Algo=0 Buckets=128 bLocal=64 bGrid=128 Time=51.6451ms
Length=33554432 Algo=0 Buckets=256 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=512 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=1024 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=2048 bLocal=-1 bGrid=-1 Time=99999ms
Length=33554432 Algo=0 Buckets=4096 bLocal=-1 bGrid=-1 Time=99999ms
