Data size(Gather): 33554432 (128MB)	Time:40.9372 ms	Throughput:3.05346 GB/s
Data size(Gather): 100663296 (384MB)	Time:148.943 ms	Throughput:2.51775 GB/s
Data size(Gather): 167772160 (640MB)	Time:251.21 ms	Throughput:2.48796 GB/s
Data size(Gather): 234881024 (896MB)	Time:342.121 ms	Throughput:2.55757 GB/s
Data size(Gather): 301989888 (1152MB)	Time:446.853 ms	Throughput:2.5176 GB/s
Data size(Gather): 369098752 (1408MB)	Time:547.147 ms	Throughput:2.51303 GB/s
Data size(Gather): 436207616 (1664MB)	Time:636.514 ms	Throughput:2.55297 GB/s
Data size(Gather): 503316480 (1920MB)	Time:752.366 ms	Throughput:2.49214 GB/s
Data size(Gather): 570425344 (2176MB)	Time:838.06 ms	Throughput:2.53562 GB/s
Data size(Gather): 637534208 (2432MB)	Time:914.949 ms	Throughput:2.59577 GB/s
Data size(Gather): 704643072 (2688MB)	Time:999.451 ms	Throughput:2.62644 GB/s
Data size(Gather): 771751936 (2944MB)	Time:1109.71 ms	Throughput:2.59076 GB/s
Data size(Gather): 838860800 (3200MB)	Time:1169.46 ms	Throughput:2.67217 GB/s
Data size(Gather): 905969664 (3456MB)	Time:1317.91 ms	Throughput:2.56086 GB/s
Data size(Gather): 973078528 (3712MB)	Time:1398.46 ms	Throughput:2.59215 GB/s
Data size(Gather): 1040187392 (3968MB)	Time:1472.31 ms	Throughput:2.63193 GB/s
