Data size(Scatter): 33554432 (128MB)	Time:57.4074 ms	Throughput:2.17742 GB/s
Data size(Scatter): 100663296 (384MB)	Time:193.658 ms	Throughput:1.93641 GB/s
Data size(Scatter): 167772160 (640MB)	Time:329.767 ms	Throughput:1.89528 GB/s
Data size(Scatter): 234881024 (896MB)	Time:464.923 ms	Throughput:1.88203 GB/s
Data size(Scatter): 301989888 (1152MB)	Time:603.985 ms	Throughput:1.86263 GB/s
Data size(Scatter): 369098752 (1408MB)	Time:739.185 ms	Throughput:1.86016 GB/s
Data size(Scatter): 436207616 (1664MB)	Time:875.59 ms	Throughput:1.85589 GB/s
Data size(Scatter): 503316480 (1920MB)	Time:1014 ms	Throughput:1.84912 GB/s
Data size(Scatter): 570425344 (2176MB)	Time:1147.1 ms	Throughput:1.8525 GB/s
Data size(Scatter): 637534208 (2432MB)	Time:1283.25 ms	Throughput:1.85078 GB/s
Data size(Scatter): 704643072 (2688MB)	Time:1418.28 ms	Throughput:1.85083 GB/s
Data size(Scatter): 771751936 (2944MB)	Time:1552.25 ms	Throughput:1.85214 GB/s
Data size(Scatter): 838860800 (3200MB)	Time:1687.37 ms	Throughput:1.85199 GB/s
Data size(Scatter): 905969664 (3456MB)	Time:1827 ms	Throughput:1.84729 GB/s
Data size(Scatter): 973078528 (3712MB)	Time:1963.16 ms	Throughput:1.84652 GB/s
Data size(Scatter): 1040187392 (3968MB)	Time:2104.69 ms	Throughput:1.84112 GB/s
